fno,from,to,price,duration,time,date,totalprice,passengerdetails

1,SHJ,YXU,1200,7H 30Mins,08:00,Sunday 14 July,1202.44,"[{""title"": ""Mr"", ""firstName"": ""Aman"", ""ageGroup"": ""Adult"", ""food"": [""Mutton Keema Dosa"", 2.44]}]"
9,YQY,YTZ,1450,16H 25Mins,18:45,Tuesday 16 July,1466.7,"[{""title"": ""Mr"", ""firstName"": ""Aman"", ""ageGroup"": ""Adult"", ""food"": [""Pepper Chicken Dosa"", 2.07]}, {""title"": ""Mr"", ""firstName"": ""Bobby Chemmanur"", ""ageGroup"": ""Adult"", ""food"": [""Vegan Dosa"", 14.63]}]"
2,SHJ,ISP,1400,12H 45Mins,09:45,Monday 15 July,1401.83,"[{""title"": ""Mr"", ""firstName"": ""Aman"", ""ageGroup"": ""Adult"", ""food"": [""Chicken Dosa"", 1.83]}]"
9,YQY,YTZ,1450,16H 25Mins,18:45,Tuesday 16 July,1452.44,"[{""title"": ""Mr"", ""firstName"": ""Aman"", ""ageGroup"": ""Adult"", ""food"": [""Mutton Keema Dosa"", 2.44]}]"

1,SHJ,YXU,1200,7H 30Mins,16:20,Sunday 28 July,1201.83,"[{""title"": ""Mr"", ""firstName"": ""aman jkb"", ""ageGroup"": ""Adult"", ""food"": [""Chicken Dosa"", 1.83], ""email"": ""amanshooja@gmail.com"", ""national"": ""austrian"", ""phone"": ""097867"", ""seat"": ""A1"", ""bgg"": ""premium plus"", ""indi_price"": 1201.83}]"
2,SHJ,ISP,1400,12H 45Mins,11:00,Sunday 28 July,1402.44,"[{""title"": ""Ms"", ""firstName"": ""rehsdgf twyerht"", ""ageGroup"": ""Adult"", ""food"": [""Paneer Tikka Dosa"", 2.44], ""email"": ""amanshooja@gmail.com"", ""national"": ""albanian"", ""phone"": ""43546"", ""seat"": ""B4"", ""bgg"": ""premium"", ""indi_price"": 1402.44}]"
1,SHJ,YXU,1200,7H 30Mins,16:20,Sunday 28 July,1201.83,"[{""title"": ""Mr"", ""firstName"": ""sdf adfs"", ""ageGroup"": ""Adult"", ""food"": [""Chicken Dosa"", 1.83], ""email"": ""sdgf"", ""national"": ""algerian"", ""phone"": ""435"", ""seat"": ""B4"", ""bgg"": ""premium plus"", ""indi_price"": 1201.83}]"
1,SHJ,YXU,1200,7H 30Mins,16:20,Sunday 28 July,626.44,"[{""title"": ""Mr"", ""firstName"": ""maneesh twyerht"", ""ageGroup"": ""Child"", ""food"": [""Mutton Keema Dosa"", 2.44], ""email"": ""aman029197@sissharjah.com"", ""national"": ""danish"", ""phone"": ""43546"", ""seat"": ""A5"", ""bgg"": ""premium plus"", ""indi_price"": 626.44}]"
